Device	Operator	I	II	III	IV	V	VI	VII	VIII	IX	X
A1	O1	22.40	20.85	23.60	21.00	19.10	19.80	16.55	14.75	21.10	14.30
A2	O1	22.90	21.40	23.95	22.25	21.40	21.00	16.90	14.85	22.00	15.00
A3	O1	23.50	21.00	23.75	20.75	19.50	19.50	17.50	14.50	20.00	14.00
A4	O1	22.50	20.50	23.20	21.00	21.00	18.90	17.80	14.30	20.60	14.20
A5	O1	21.45	19.20	23.35	20.35	19.95	19.35	17.45	14.45	22.00	14.75
A1	O2	22.65	20.65	23.00	20.75	20.25	19.80	17.25	15.00	19.75	14.25
A2	O2	23.00	20.70	22.50	20.95	22.25	20.75	18.00	14.75	20.50	15.25
A3	O2	22.00	19.50	23.25	20.50	21.25	19.75	17.75	14.75	20.50	14.25
A4	O2	22.90	21.20	24.60	21.50	21.20	20.00	18.70	15.00	21.50	14.20
A5	O2	21.45	18.90	23.20	20.25	19.95	19.20	17.35	14.35	21.80	14.65
A1	O3	22.50	21.25	23.10	20.60	21.00	19.50	16.60	14.35	20.75	14.10
A2	O3	22.50	21.00	23.00	21.75	22.75	20.35	17.20	14.85	22.35	16.00
A3	O3	22.75	20.50	22.75	19.50	20.50	19.75	17.25	14.25	21.50	14.25
A4	O3	21.75	19.35	21.75	19.50	20.50	19.00	16.35	14.10	20.85	13.85
A5	O3	21.35	19.20	23.20	20.30	20.00	19.30	17.50	14.40	21.90	14.80
A1	O4	21.25	21.25	22.25	21.25	18.00	20.00	17.25	14.65	21.00	14.25
A2	O4	22.10	21.60	22.35	21.75	19.75	20.65	16.70	15.75	20.85	15.40
A3	O4	21.25	21.50	22.10	21.70	19.75	19.75	18.20	14.60	21.25	14.75
A4	O4	21.90	21.00	22.75	20.75	19.70	20.00	18.45	14.30	20.75	15.10
A5	O4	21.20	18.90	23.30	20.30	19.90	19.30	17.40	14.50	22.00	14.40
