couple scores
1 115
2 107
3 105
4 103
5 100
6 96
7 104
8 126
9 115
10 103
11 93
12 104
13 109
14 75
15 103
16 112
17 97
18 110
19 110
20 103
21 94
22 99
23 113
24 87
25 113
26 127
27 78
28 93
29 111
30 113
31 91
32 123
33 92
34 75
35 77
36 91
37 110
38 86
39 91
40 115
41 76
42 118
43 111
44 95
45 108
46 100
47 98
48 110
49 115
50 90
1 108
2 107
3 104
4 110
5 105
6 110
7 100
8 106
9 110
10 104
11 96
12 112
13 92
14 89
15 101
16 130
17 90
18 110
19 100
20 94
21 95
22 90
23 99
24 86
25 115
26 123
27 84
28 104
29 120
30 106
31 90
32 116
33 95
34 72
35 85
36 93
37 109
38 100
39 103
40 115
41 90
42 108
43 117
44 101
45 101
46 105
47 96
48 103
49 117
50 93
